Company,Sector,Price,1D,YTD,M.Cap,Date
Company,Sector,Price,1D,YTD,M.Cap,Date
Misr Hotels,Consumer Services,27.21,+0.26%,+5.71%,10.77,28/04
Misr Kuwait Investment And Trading (Meatello),Consumer Goods,5.53,-,-,0.11,06/01
Misr National Steel - Ataqa,Basic Materials,10.12,-1.46%,+0.50%,12.14,28/04
Misr Oils & Soap,Consumer Goods,266.26,+20.00%,+46.39%,1.59,28/04
Misr Refrigeration and Air Conditioning,Industrials,119.16,-,-,1.78,28/04
MM Group For Industry And International Trade,Consumer Services,8.32,-0.72%,+15.56%,15.71,28/04
Modern Waterproofing Company,Basic Materials,3.80,-,-,0.45,28/04
Mohandes Insurance,Financials,25.73,+5.28%,-15.45%,6.69,28/04
NAEEM Holding,Financials,0.10,-,-9.09%,1.91,28/04
Nasr Company For Civil Works,Industrials,5.28,+1.54%,-13.73%,1.1,28/04
National Bank Of Kuwait Egypt,Financials,13.00,-,-,6.5,28/04
National Cement,Industrials,15.51,-,-,1.6,28/04
National Company For Maize Products,Consumer Goods,58.00,-,-,1.71,28/04
National Drilling Company,Oil & Gas,4.69,-,-,1.2,28/04
National Housing for Professional Syndicates,Financials,69.73,+4.40%,-8.69%,1.11,28/04
New Castle For Investment Sports,Consumer Services,2.00,-,-,0,10/08
Nile City Investment,Financials,344.28,-,-,2.49,28/04
Nile Cotton Ginning,Industrials,6.55,-,-,0,28/04
North Africa Company For Real Estate Investment,Financials,1.77,-,-,0.3,28/04
North Cairo Flour Mills,Consumer Goods,107.89,-1.18%,-16.61%,1.15,28/04
North Upper Egypt Development & Agricultural Production,Consumer Goods,3.08,+4.76%,+28.87%,0.19,28/04
Nozha International Hospital,Health Care,18.50,+9.21%,+79.61%,4.47,28/04
Obour Land For Food Industries,Consumer Goods,22.19,-0.05%,-11.20%,8.87,28/04
October Pharma,Health Care,310.05,+5.88%,+51.75%,3.72,28/04
Odin for Investment & Development,Financials,3.50,-,-,0.36,28/04
ODIN Investment,Financials,1.94,+1.04%,-13.78%,1.16,28/04
Orange Egypt for Telecommunications,Telecom,11.83,-,-,19.3,28/04
Orascom Construction Industries,Industrials,599.00,-1.32%,+39.30%,66.03,28/04
Orascom Development Holding AG,Consumer Services,5.09,-,-,0,28/04
Orascom Financial Holdings,Financials,0.63,-1.56%,+12.50%,2.97,28/04
Orascom Hotels And Development,Consumer Services,30.54,+0.13%,+20.24%,34.52,28/04
Orascom Investment Holding,Telecom,1.51,-0.66%,+27.97%,7.92,28/04
Oriental Weavers Carpet,Consumer Goods,23.00,+0.44%,-1.08%,15.29,28/04
Osool ESB Securities Brokerage,Financials,1.85,+4.52%,-9.31%,0.96,28/04
Paint & Chemicals Industries,Basic Materials,39.80,-,-,0.95,28/04
Palm Hills Development Company,Financials,11.13,+0.72%,+29.27%,31.83,28/04
Paper Middle East (Simo),Industrials,9.21,-,-,0,28/04
Pharaoh Tech For Control And Communication Systems,Technology,14.31,-,+36.55%,0,10/08
Pioneers Properties For Urban Development,Financials,5.15,+0.39%,+18.39%,5.39,28/04
Port Said Agricultural Development and Construction,Technology,0.86,-,-24.56%,0,10/08
Prime Holding,Financials,2.03,+0.50%,+27.67%,0.71,28/04
Pyramisa Hotels and Resorts,Consumer Services,188.50,-,+8.30%,4.77,28/04
Qalaa Holdings,Financials,4.63,+2.21%,+23.14%,14.89,28/04
Qalaa Holdings - Preferred Shares,Financials,29.67,-,-,0,16/05
Qatar National Bank Alahly,Financials,47.77,+0.57%,+3.04%,102.93,28/04
Raya Contact Center,Technology,9.24,-1.18%,+10.13%,1.84,28/04
Raya Holding for Financial Investments,Financials,6.30,-2.17%,+82.08%,26.97,28/04
Reacap Financial Investments,Financials,8.77,-0.11%,+28.59%,1.03,27/07
Real Estate Egyptian Consortium,Financials,1.32,+1.54%,-5.04%,0.52,28/04
Real Estate Egyptian Consortium Bearer Shares,Financials,11.72,-,-,0,28/04
Remco For Touristic Villages Construction,Consumer Services,4.50,+2.27%,+18.73%,1.11,28/04
Riva Pharma,Health Care,7.00,-,-,0,10/08
Rowad Misr Tourism Investment,Consumer Services,480.75,-,-,0.72,28/04
Rowad Tourism (Al Rowad),Consumer Services,33.50,+0.03%,-7.79%,0.57,28/04
Rubex International For Plastic And Acrylic Manufacturing,Basic Materials,11.98,+6.49%,+16.99%,0.73,28/04
Sabaa International Company For Pharmaceutical And Chemical,Health Care,3.54,+2.02%,-4.84%,0.88,28/04
Samad Misr EGYFERT,Basic Materials,200.42,-2.21%,+4.79%,1.92,28/04
Samcrete Misr,Industrials,3.76,-,-,0,28/04
Samcrete Misr Preferred Shares,Industrials,13.62,-,-,0,28/04
Sarwa Capital,Financials,3.75,-,-,4.48,28/04
Saudi Egyptian Investment & Finance,Financials,200.00,+8.75%,+15.68%,0.5,28/04
Saudi Egyptian Investment & Finance (Usd),Financials,0.95,-,-,0,28/04
Sharkia National Company for Food Security,Consumer Goods,11.32,+2.91%,+9.90%,1.85,28/04
Sharm Dreams Co For Tourism Investment,Consumer Services,44.67,+2.69%,+74.42%,2.36,28/04
Shorouk for Modern Printing and Packaging,Industrials,72.00,-,-,0.94,28/04
Sidi Kerir Petrochemicals,Basic Materials,18.53,+0.71%,-5.46%,21.01,28/04
Sinai Cement,Industrials,59.05,-0.76%,-5.14%,15.4,28/04
Six Of October Development & Investment (Sodic),Financials,21.92,+0.74%,+22.25%,28.26,28/04
Sky Light For Tourist Development Company,Consumer Services,1.00,-,-,0,20/07
Societe Arabe Internationale De Banque,Financials,2.11,-,-,3.68,28/04
Sohag National Company For Food Industries,Consumer Goods,38.22,-1.14%,+20.19%,0,10/08
South Cairo & Giza Mills & Bakeries,Consumer Goods,247.57,-2.91%,-6.09%,1.48,28/04
South Valley Cement,Industrials,7.45,+13.05%,-13.37%,3.59,28/04
Speed Medical,Health Care,0.39,+5.41%,+5.41%,0.64,28/04
Sues Canal Company For Technology Settling,Consumer Services,683.03,-0.34%,+133.02%,62.08,28/04
Suez Bags,Industrials,8.20,-,-,2.38,28/04
Suez Canal Bank,Financials,34.30,-0.81%,-8.73%,34.29,28/04
Suez Cement,Industrials,7.40,-,-,1.34,28/04
Taaleem Management Services,Consumer Services,14.91,-0.86%,-3.68%,10.94,28/04
Taghleef Industries - Egypt,Industrials,23.96,-,-,0,10/08
Tanmiya for Real Estate Investment,Technology,4.67,-1.06%,-1.27%,0.67,28/04
Telecom Egypt,Telecom,95.00,-0.68%,+44.44%,162.17,28/04
Tenth of Ramadan for Pharmaceutical Industries and Diagnostic Reagents - Rameda,Health Care,4.55,-1.30%,+36.64%,9.1,28/04
The Arab Dairy Products,Consumer Goods,3.80,+0.53%,-1.04%,1.9,28/04
TMG Holding,Financials,94.02,+0.02%,+17.53%,193.74,28/04
Tourah Cement,Industrials,6.77,-,-,0.48,28/04
Tourism Urbanization,Consumer Services,6.85,-,-,0,28/04
Trans Oceans Tours,Consumer Services,0.03,-,-,0.17,28/04
Union National Bank Egypt,Financials,6.43,-,-,1.61,28/04
United Arab Stevedoring,Industrials,0.64,-,-,0.12,28/04
United Housing & Development,Financials,10.19,-2.39%,-5.03%,2.39,28/04
Universal Company for Packaging Materials and Paper,Industrials,0.29,-,-3.33%,0.66,28/04
Univert Food Industries,Consumer Goods,0.95,-4.04%,+3.26%,0,10/08
Upper Egypt Flour Mills,Consumer Goods,511.28,-0.95%,+6.86%,3.57,28/04
Utopia Real Estate Investment and Tourism,Financials,5.02,-,-25.85%,0,10/08
Vertika,Technology,1.57,-,-,0.04,06/01
Vodafone Egypt,Telecom,61.21,+1.64%,+72.18%,0,10/08
Wadi Kom Ombo for Land Reclamation,Industrials,279.17,-1.10%,-10.83%,1.56,28/04
Xpress Integration,Technology,1.00,-,-,0,10/08
Zahraa Maadi Investment & Development,Financials,5.82,-2.84%,+1.39%,5.82,28/04
Misr Oils and Soap,266.26,+20.00%,28/04,,,
South Valley Cement,7.45,+13.05%,28/04,,,
El Kahera El Watania Investment,71.79,+10.45%,28/04,,,
Nozha International Hospital,18.50,+9.21%,28/04,,,
Saudi Egyptian Investment & Finance,200.00,+8.75%,28/04,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,BRVM-CI,403.36,+0.24%,28/04,,
,BSE DCI,"11,116.87",-,28/04,,
,DSE ASI,"3,878.98",+0.73%,28/04,,
,EGX 30,"52,230.61",-0.93%,28/04,,
,GSE-CI,"14,878.21",+0.16%,28/04,,
,JSE ASI,"116,565.97",+0.10%,24/04,,
,LuSE ASI,"26,651.85",+0.01%,27/04,,
,MASI,"18,715.25",-0.55%,28/04,,
,MSE ASI,"524,709.82",-0.06%,28/04,,
,NGX ASI,"228,579.80",+2.23%,28/04,,
,NSE ASI,206.67,-0.15%,28/04,,
,NSX OI,"2,295.10",-1.02%,24/04,,
,RSE ASI,192.85,+0.19%,28/04,,
,SEM ASI,"2,050.81",+0.02%,28/04,,
,TUNINDEX,"15,804.26",-0.01%,24/04,,
,USE ASI,"1,953.37",+0.53%,28/04,,
,ZSE ASI,359.61,-0.79%,28/04,,
