Company,Sector,Price,1D,YTD,M.Cap,Date
Company,Sector,Price,1D,YTD,M.Cap,Date
Nozha International Hospital,Health Care,12.43,+0.73%,+20.68%,3,24/03
Obour Land For Food Industries,Consumer Goods,21.19,-4.76%,-15.21%,8.47,24/03
October Pharma,Health Care,192.99,+0.67%,-5.55%,2.31,24/03
Odin for Investment & Development,Financials,3.50,-,-,0.36,24/03
ODIN Investment,Financials,1.82,+1.68%,-19.11%,1.09,24/03
Orange Egypt for Telecommunications,Telecom,11.83,-,-,19.3,24/03
Orascom Construction Industries,Industrials,476.00,+1.06%,+10.70%,52.47,24/03
Orascom Development Holding AG,Consumer Services,5.09,-,-,0,24/03
Orascom Financial Holdings,Financials,0.53,+1.92%,-5.36%,2.52,24/03
Orascom Hotels And Development,Consumer Services,25.45,+1.39%,+0.20%,28.77,24/03
Orascom Investment Holding,Telecom,1.29,+2.38%,+9.32%,6.76,24/03
Oriental Weavers Carpet,Consumer Goods,22.57,+0.71%,-2.92%,15.01,24/03
Osool ESB Securities Brokerage,Financials,1.60,-,-21.57%,0.83,24/03
Paint & Chemicals Industries,Basic Materials,39.80,-,-,0.95,24/03
Palm Hills Development Company,Financials,8.66,+1.76%,+0.58%,24.76,24/03
Paper Middle East (Simo),Industrials,9.21,-,-,0,24/03
Pharaoh Tech For Control And Communication Systems,Technology,14.31,-,+36.55%,0,10/08
Pioneers Properties For Urban Development,Financials,4.14,+0.49%,-4.83%,4.33,24/03
Port Said Agricultural Development and Construction,Technology,0.86,-,-24.56%,0,10/08
Prime Holding,Financials,1.99,-1.00%,+25.16%,0.69,24/03
Pyramisa Hotels and Resorts,Consumer Services,185.06,-,+6.32%,4.69,24/03
Qalaa Holdings,Financials,3.73,+3.32%,-0.80%,11.99,24/03
Qalaa Holdings - Preferred Shares,Financials,29.67,-,-,0,16/05
Qatar National Bank Alahly,Financials,39.34,+0.10%,-15.14%,84.77,24/03
Raya Contact Center,Technology,8.48,+0.12%,+1.07%,1.68,24/03
Raya Holding for Financial Investments,Financials,5.34,-0.74%,+54.34%,22.86,24/03
Reacap Financial Investments,Financials,8.77,-0.11%,+28.59%,1.03,27/07
Real Estate Egyptian Consortium,Financials,1.19,+5.31%,-14.39%,0.47,24/03
Real Estate Egyptian Consortium Bearer Shares,Financials,11.72,-,-,0,24/03
Remco For Touristic Villages Construction,Consumer Services,3.63,-1.63%,-4.22%,0.89,24/03
Riva Pharma,Health Care,7.00,-,-,0,10/08
Rowad Misr Tourism Investment,Consumer Services,480.75,-,-,0.72,24/03
Rowad Tourism (Al Rowad),Consumer Services,31.40,+6.19%,-13.57%,0.54,24/03
Rubex International For Plastic And Acrylic Manufacturing,Basic Materials,8.90,-0.22%,-13.09%,0.54,24/03
Sabaa International Company For Pharmaceutical And Chemical,Health Care,3.23,-0.92%,-13.17%,0.8,24/03
Samad Misr EGYFERT,Basic Materials,176.54,+0.73%,-7.69%,1.69,24/03
Samcrete Misr,Industrials,3.76,-,-,0,24/03
Samcrete Misr Preferred Shares,Industrials,13.62,-,-,0,24/03
Sarwa Capital,Financials,3.75,-,-,4.48,24/03
Saudi Egyptian Investment & Finance,Financials,141.63,-,-18.08%,0.35,24/03
Saudi Egyptian Investment & Finance (Usd),Financials,0.95,-,-,0,24/03
Sharkia National Company for Food Security,Consumer Goods,10.57,-0.38%,+2.62%,1.73,24/03
Sharm Dreams Co For Tourism Investment,Consumer Services,38.54,+0.10%,+50.49%,2.04,24/03
Shorouk for Modern Printing and Packaging,Industrials,72.00,-,-,0.94,24/03
Sidi Kerir Petrochemicals,Basic Materials,17.58,+2.81%,-10.31%,19.93,24/03
Sinai Cement,Industrials,58.13,+0.45%,-6.62%,15.16,24/03
Six Of October Development & Investment (Sodic),Financials,19.71,+10.05%,+9.93%,25.41,24/03
Sky Light For Tourist Development Company,Consumer Services,1.00,-,-,0,20/07
Societe Arabe Internationale De Banque,Financials,2.11,-,-,3.34,24/03
Sohag National Company For Food Industries,Consumer Goods,38.22,-1.14%,+20.19%,0,10/08
South Cairo & Giza Mills & Bakeries,Consumer Goods,223.09,-0.23%,-15.37%,1.33,24/03
South Valley Cement,Industrials,7.65,-,-11.05%,3.68,24/03
Speed Medical,Health Care,0.34,-,-8.11%,0.55,24/03
Sues Canal Company For Technology Settling,Consumer Services,268.62,+2.15%,-8.36%,24.41,24/03
Suez Bags,Industrials,8.20,-,-,2.38,24/03
